city_slug,neighborhood_slug,full_price
isfahan,amiriyeh-isfahan,3993.965141583333
isfahan,andevan,1723.6041666666667
isfahan,aqiq,2300.0
isfahan,ardaji,2783.6666666666665
isfahan,arghavanieh,3164.681339021368
isfahan,asgariyeh-isfahan,3715.3244371740193
isfahan,ashegh-abad,1718.0148148148148
isfahan,azadan,4375.852173913044
isfahan,azadegan-isfahan,1753.380075628205
isfahan,azar-isfahan,4013.9028722210883
isfahan,babukan,3039.880341880342
isfahan,bagh-daryacheh,4834.2888888844445
isfahan,bagh-fadak,3136.9164472353873
isfahan,bagh-ferdows-isfahan,2467.24358974359
isfahan,bagh-ghadir,4940.918803418804
isfahan,bagh-negar,4674.113636363636
isfahan,bagh-zereshk,4128.034188034188
isfahan,bagh-ziar,4185.9465020576135
isfahan,baghoush-khaneh,1840.2651515151517
isfahan,bahar-azadi,3646.313131313131
isfahan,baharan-isfahan,3459.333333333333
isfahan,baharestan-esfahan,1976.882643055046
isfahan,bahram-abad,1435.5185185185185
isfahan,barazandeh,3222.5630638606467
isfahan,batoun,1772.081300813008
isfahan,bazougah,4877.930976430976
isfahan,bazzar,3513.098097882883
isfahan,berelian,2848.3333333333335
isfahan,bidabad,3648.1401090413437
isfahan,bishe-habib,6138.5
isfahan,bisim-isfahan,5579.652777777777
isfahan,bozorgmehr,4563.5347923555555
isfahan,buzan,1914.0666666666666
isfahan,chaharbaghkhajoo,3682.655211848797
isfahan,charkhab,3964.6511627906975
isfahan,darb-e-sibeh,4520.740740740741
isfahan,dashtestan,4993.376262541667
isfahan,dastgerd,2588.6786786756757
isfahan,dastgerd-e-qadaadeh,3489.5555555555557
isfahan,dastgerdeh,3541.474358974359
isfahan,dehno,3638.432539678571
isfahan,denart,2462.916666666667
isfahan,derak,2781.0
isfahan,dolat-abad-isfahan,2096.3855568189156
isfahan,dorcheh,2428.8052224604317
isfahan,doteflan,1878.8888888850577
isfahan,elyderan,4132.459742268116
isfahan,emam-jafar-sadegh-town,3093.333333333333
isfahan,eshragh,3575.024898607143
isfahan,fardovan,1418.377192982456
isfahan,farhang-isfahan,3176.3636363636365
isfahan,farhangian-isfahan,4211.717171717171
isfahan,farhangiyan-town,1725.0
isfahan,farvardin,2265.8289240714284
isfahan,fath-abad,3940.2111111111108
isfahan,ferdos,2697.222222222222
isfahan,fizadan,2785.222222222222
isfahan,gabr-abad,3247.510287962963
isfahan,gavart,2432.751906281863
isfahan,gaz,2234.240072988148
isfahan,ghaemiyeh,2219.957491537879
isfahan,ghale-bertianchi,7975.0
isfahan,ghale-nou,2054.965873014286
isfahan,ghale-tabre,3306.171171171171
isfahan,golbahar-isfahan,3029.1666666666665
isfahan,golestan-isfahan,2433.2751322751324
isfahan,golmohammadi,3061.2604166614583
isfahan,golzar-isfahan,4323.791079812207
isfahan,gurtan,3636.521739130435
isfahan,haftoon,2447.649670232877
isfahan,hamedaniyan,4545.134615384615
isfahan,hashtbehesht,3596.399074072222
isfahan,hemat-abad,2835.6625513555555
isfahan,hesseh,1764.6825396825398
isfahan,histan,1803.3333333333333
isfahan,hoseinabad,3756.9192276560284
isfahan,isfahan-university-of-technology,3442.71358
isfahan,jaber-ansari,4518.258840740113
isfahan,janiran,2430.111111111111
isfahan,jarvakan,1783.4583333333333
isfahan,javan-e-bala,2863.876923076923
isfahan,javan-e-paein,3798.6527777750002
isfahan,jelvan,1574.8148148148148
isfahan,jey-Shir,4431.3218390804595
isfahan,jolfa,3718.0700109226445
isfahan,joubareh,3255.5
isfahan,jowzdan,3398.0476190476193
isfahan,kalman,4179.416666666667
isfahan,kalmh-khvaran,3776.0
isfahan,kangaz,2973.9316239230766
isfahan,kerdabad,1316.6666666666667
isfahan,kesare,2440.7333333333336
isfahan,keshavarzi,3176.3037974683543
isfahan,khalaja,2550.37137131982
isfahan,khaneesfahan,3502.6474538513976
isfahan,khatoonabad,2871.372549019608
isfahan,khiadan,691.3888888888888
isfahan,khomeinishahr,2578.2091607667844
isfahan,khoram,3419.3068415520834
isfahan,kian,729.9
isfahan,kojan,2206.5511551155114
isfahan,kouleh-parcheh,3872.4582424836603
isfahan,kuy-emam,3258.780701754386
isfahan,kuy-golzar,4488.611111111111
isfahan,kuy-shahid-keshvari,3200.2279411740196
isfahan,ladan-isfahan,2575.666666666667
isfahan,lale,2702.9291338582675
isfahan,lemjir,2245.2395833333335
isfahan,lonban,5177.327586206897
isfahan,mahale-now,2985.671957671958
isfahan,mahaleh-sofla,3046.754385964912
